Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2013/11/28,51.25,51.25,51.25,51.25,51.25,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.3451114488348531,0.3451114488348531,0.3451114488348531,0.3451114488348531
2013/12/2,55.1,55.1,55.1,55.1,55.1,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.39387031408308004,0.39387031408308004,0.39387031408308004,0.39387031408308004
2013/12/5,50.2,50.2,50.2,50.2,50.2,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.33181357649442766,0.33181357649442766,0.33181357649442766,0.33181357649442766
2013/12/6,50.0,50.0,50.0,50.0,50.0,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.3292806484295846,0.3292806484295846,0.3292806484295846,0.3292806484295846
2013/12/11,50.5,50.5,50.5,50.5,50.5,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.335612968591692,0.335612968591692,0.335612968591692,0.335612968591692
2013/12/17,51.0,51.0,51.0,51.0,51.0,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.34194528875379937,0.34194528875379937,0.34194528875379937,0.34194528875379937
2013/12/19,55.0,55.0,55.0,55.0,55.0,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.39260385005065856,0.39260385005065856,0.39260385005065856,0.39260385005065856
2013/12/24,50.0,50.0,50.0,50.0,50.0,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.3292806484295846,0.3292806484295846,0.3292806484295846,0.3292806484295846
2014/1/7,50.0,50.0,50.0,50.0,50.0,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.3292806484295846,0.3292806484295846,0.3292806484295846,0.3292806484295846
2014/1/8,50.75,50.75,50.75,50.75,50.75,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.33877912867274573,0.33877912867274573,0.33877912867274573,0.33877912867274573
2014/1/9,50.65,50.65,50.65,50.65,50.65,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.33751266464032426,0.33751266464032426,0.33751266464032426,0.33751266464032426
2014/1/10,50.8,50.8,50.8,50.8,50.8,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.3394123606889564,0.3394123606889564,0.3394123606889564,0.3394123606889564
2014/1/13,50.0,50.0,50.0,50.0,50.0,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.3292806484295846,0.3292806484295846,0.3292806484295846,0.3292806484295846
