Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2014/6/19,30.74,30.74,30.74,30.74,30.74,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.6392949269131556,0.6392949269131556,0.6392949269131556,0.6392949269131556
2015/3/17,24.0,24.0,24.0,24.0,24.0,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.4944110060189166,0.4944110060189166,0.4944110060189166,0.4944110060189166
2015/6/9,24.0,24.0,24.0,24.0,24.0,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.4944110060189166,0.4944110060189166,0.4944110060189166,0.4944110060189166
2015/6/11,22.0,22.0,22.0,22.0,22.0,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.45141874462596726,0.45141874462596726,0.45141874462596726,0.45141874462596726
2015/6/12,20.05,20.05,20.05,20.05,20.05,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.4095012897678418,0.4095012897678418,0.4095012897678418,0.4095012897678418
2015/6/15,20.46,20.46,20.46,20.46,20.46,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.4183147033533964,0.4183147033533964,0.4183147033533964,0.4183147033533964
2015/6/17,20.0,20.0,20.0,20.0,20.0,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.408426483233018,0.408426483233018,0.408426483233018,0.408426483233018
2015/6/18,20.0,20.0,20.0,20.0,20.0,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.408426483233018,0.408426483233018,0.408426483233018,0.408426483233018
2015/6/19,19.1,19.1,19.1,19.1,19.1,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.38907996560619085,0.38907996560619085,0.38907996560619085,0.38907996560619085
2015/6/23,22.89,22.89,22.89,22.89,22.89,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.4705503009458297,0.4705503009458297,0.4705503009458297,0.4705503009458297
2015/6/25,18.31,18.31,18.31,18.31,18.31,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.37209802235597583,0.37209802235597583,0.37209802235597583,0.37209802235597583
2015/6/26,14.65,14.65,14.65,14.65,14.65,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji']",None,,,,,0,0.29342218400687875,0.29342218400687875,0.29342218400687875,0.29342218400687875
