Date,Open,High,Low,Close,Adj Close,Volume
2013/11/28,51.25,51.25,51.25,51.25,51.25,800
2013/12/2,55.1,55.1,55.1,55.1,55.1,300
2013/12/5,50.2,50.2,50.2,50.2,50.2,100
2013/12/6,50,50,50,50,50,100
2013/12/11,50.5,50.5,50.5,50.5,50.5,100
2013/12/17,51,51,51,51,51,100
2013/12/19,55,55,55,55,55,100
2013/12/24,50,50,50,50,50,1000
2014/1/7,50,50,50,50,50,500
2014/1/8,50.75,50.75,50.75,50.75,50.75,400
2014/1/9,50.65,50.65,50.65,50.65,50.65,200
2014/1/10,50.8,50.8,50.8,50.8,50.8,100
2014/1/13,50,50,50,50,50,500
2014/1/14,53,53,53,53,53,200
2014/1/16,50.1,50.1,50.1,50.1,50.1,200
2014/1/17,50.1,50.1,50.1,50.1,50.1,200
2014/1/20,50.1,50.1,50.1,50.1,50.1,200
2014/1/21,50,50,50,50,50,200
2014/1/22,50.2,50.2,50.2,50.2,50.2,100
2014/1/28,50.5,50.5,50.5,50.5,50.5,100
2014/1/29,51,51,51,51,51,100
2014/1/30,50.8,50.8,50.8,50.8,50.8,100
2014/2/11,51,51,51,51,51,300
2014/2/12,51,51,51,51,51,400
2014/2/13,51.8,51.8,51.8,51.8,51.8,500
2014/2/14,51.1,51.1,51.1,51.1,51.1,500
2014/2/18,51.4,51.4,51.4,51.4,51.4,700
2014/2/19,51.7,51.7,51.7,51.7,51.7,350
2014/2/20,51.75,51.75,51.75,51.75,51.75,650
2014/2/21,51.81,51.81,51.81,51.81,51.81,850
2014/2/24,52.14,52.14,52.14,52.14,52.14,500
2014/2/25,52.04,52.04,52.04,52.04,52.04,1000
2014/2/26,52.41,52.41,52.41,52.41,52.41,1000
2014/2/27,51.78,51.78,51.78,51.78,51.78,1300
2014/2/28,52.82,52.82,52.82,52.82,52.82,1200
2014/3/3,52.56,52.56,52.56,52.56,52.56,1150
2014/3/4,52.63,52.63,52.63,52.63,52.63,1400
2014/3/5,53.07,53.07,53.07,53.07,53.07,2300
2014/3/6,55.2,55.2,55.2,55.2,55.2,700
2014/3/7,55.18,55.18,55.18,55.18,55.18,900
2014/3/10,54.16,54.16,54.16,54.16,54.16,1700
2014/3/11,54.56,54.56,54.56,54.56,54.56,2200
2014/3/12,55.96,55.96,55.96,55.96,55.96,900
2014/3/13,55.76,55.76,55.76,55.76,55.76,1100
2014/3/14,54,54,54,54,54,500
2014/3/17,56.17,56.17,56.17,56.17,56.17,1000
2014/3/18,56.48,56.48,56.48,56.48,56.48,1000
2014/3/19,56.31,56.31,56.31,56.31,56.31,900
2014/3/20,56.39,56.39,56.39,56.39,56.39,1200
2014/3/21,54.97,54.97,54.97,54.97,54.97,1100
2014/3/25,56.95,56.95,56.95,56.95,56.95,600
2014/3/26,56.51,56.51,56.51,56.51,56.51,1000
2014/3/27,56.85,56.85,56.85,56.85,56.85,800
2014/3/28,56.86,56.86,56.86,56.86,56.86,1000
2014/4/1,52.38,52.38,52.38,52.38,52.38,1200
2014/4/2,57,57,57,57,57,700
2014/4/3,53.39,53.39,53.39,53.39,53.39,1400
2014/4/4,57.18,57.18,57.18,57.18,57.18,1000
2014/4/8,57.02,57.02,57.02,57.02,57.02,900
2014/4/9,53.15,53.15,53.15,53.15,53.15,1200
2014/4/10,57,57,57,57,57,1100
2014/4/11,57.26,57.26,57.26,57.26,57.26,900
2014/4/14,57.29,57.29,57.29,57.29,57.29,1000
2014/4/15,57,57,57,57,57,100
2014/4/16,53.51,53.51,53.51,53.51,53.51,900
2014/4/17,55.38,55.38,55.38,55.38,55.38,800
2014/4/18,52,52,52,52,52,4000
2014/4/21,53,53,53,53,53,400
2014/4/22,54,54,54,54,54,600
2014/4/23,53.5,53.5,53.5,53.5,53.5,600
2014/4/24,54,54,54,54,54,600
2014/4/25,53.64,53.64,53.64,53.64,53.64,1100
2014/4/28,53,53,53,53,53,700
2014/4/29,53.48,53.48,53.48,53.48,53.48,2200
2014/4/30,53.15,53.15,53.15,53.15,53.15,1200
2014/5/5,53.32,53.32,53.32,53.32,53.32,1700
2014/5/6,52.83,52.83,52.83,52.83,52.83,1220
2014/5/7,52.56,52.56,52.56,52.56,52.56,4300
2014/5/8,53.03,53.03,53.03,53.03,53.03,2400
2014/5/9,53.17,53.17,53.17,53.17,53.17,1800
2014/5/12,53.5,53.5,53.5,53.5,53.5,2400
2014/5/13,53.5,53.5,53.5,53.5,53.5,900
2014/5/14,52.6,52.6,52.6,52.6,52.6,900
2014/5/15,53.5,53.5,53.5,53.5,53.5,1900
2014/5/16,52.79,52.79,52.79,52.79,52.79,1400
2014/5/19,53.34,53.34,53.34,53.34,53.34,4345
2014/5/20,53.36,53.36,53.36,53.36,53.36,568
