Date,Open,High,Low,Close,Adj Close,Volume
2014/6/19,30.74,30.74,30.74,30.74,30.74,145000
2015/3/17,24,24,24,24,24,10240
2015/6/9,24,24,24,24,24,2500
2015/6/11,22,22,22,22,22,2500
2015/6/12,20.05,20.05,20.05,20.05,20.05,3969
2015/6/15,20.46,20.46,20.46,20.46,20.46,4190
2015/6/17,20,20,20,20,20,53
2015/6/18,20,20,20,20,20,255
2015/6/19,19.1,19.1,19.1,19.1,19.1,22276
2015/6/23,22.89,22.89,22.89,22.89,22.89,17105
2015/6/25,18.31,18.31,18.31,18.31,18.31,9352
2015/6/26,14.65,14.65,14.65,14.65,14.65,17039
2015/6/29,16,16,16,16,16,180
2015/6/30,18,18,18,18,18,256
2015/7/3,17.04,17.04,17.04,17.04,17.04,413
2015/7/21,16.71,16.71,16.71,16.71,16.71,1107
2015/7/22,13.53,13.53,13.53,13.53,13.53,26777
2015/7/27,13,13,13,13,13,139
2015/7/28,15,15,15,15,15,5
2015/10/16,10.4,10.4,10.4,10.4,10.4,6515
2015/11/19,12.48,12.48,12.48,12.48,12.48,22
2015/11/23,12.46,12.46,12.46,12.46,12.46,376
2015/11/24,12.46,12.46,12.46,12.46,12.46,624
2015/11/30,12.5,12.5,12.5,12.5,12.5,375
2015/12/1,12.5,12.5,12.5,12.5,12.5,51
2015/12/18,13,13,13,13,13,264
2015/12/30,12.5,12.5,12.5,12.5,12.5,1000
2016/1/4,13,13,13,13,13,264
2016/3/17,10,10,10,10,10,24948
2016/8/8,6.4,6.4,6.4,6.4,6.4,4
2016/8/9,5.12,5.12,5.12,5.12,5.12,2
2016/8/11,4.1,4.1,4.1,4.1,4.1,1000
2016/8/12,3.28,3.28,3.28,3.28,3.28,20000
2016/8/15,3.28,3.28,3.28,3.28,3.28,80000
2016/8/17,3.94,3.94,3.94,3.94,3.94,10000
2016/8/18,4.73,4.73,4.73,4.73,4.73,315
2016/8/19,5.68,5.68,5.68,5.68,5.68,298
2016/8/22,6.82,6.82,6.82,6.82,6.82,247
2016/8/23,8.18,8.18,8.18,8.18,8.18,206
2016/8/24,9.82,9.82,9.82,9.82,9.82,180
2016/8/25,10.16,10.16,10.16,10.16,10.16,1866
2016/8/26,12.19,12.19,12.19,12.19,12.19,164
2016/8/29,14.63,14.63,14.63,14.63,14.63,136
2016/8/30,17.56,17.56,17.56,17.56,17.56,1
2016/8/31,21.07,21.07,21.07,21.07,21.07,124
2016/9/1,25.28,25.28,25.28,25.28,25.28,117
2016/9/5,30.34,30.34,30.34,30.34,30.34,98
2016/9/6,33.38,33.38,33.38,33.38,33.38,89
2016/9/7,34.69,34.69,34.69,34.69,34.69,145
2016/10/10,39.55,39.55,39.55,39.55,39.55,147
2016/10/11,39.6,39.6,39.6,39.6,39.6,3
2016/10/12,39.6,39.6,39.6,39.6,39.6,146
2016/12/5,47.52,47.52,47.52,47.52,47.52,105
2016/12/14,39.6,39.6,39.6,39.6,39.6,10000
2016/12/15,31.68,31.68,31.68,31.68,31.68,126
2016/12/16,26,26,26,26,26,219
2016/12/19,20.8,20.8,20.8,20.8,20.8,239
2016/12/20,16.64,16.64,16.64,16.64,16.64,298
2016/12/21,15.02,15.02,15.02,15.02,15.02,132
2016/12/22,12.98,12.98,12.98,12.98,12.98,50
2016/12/23,10.38,10.38,10.38,10.38,10.38,100
2016/12/27,8.3,8.3,8.3,8.3,8.3,308317
2016/12/28,9.96,9.96,9.96,9.96,9.96,49
2016/12/29,11.95,11.95,11.95,11.95,11.95,40
2016/12/30,14.22,14.22,14.22,14.22,14.22,35
2017/1/3,15.65,15.65,15.65,15.65,15.65,32
2017/1/4,18.78,18.78,18.78,18.78,18.78,10
2017/1/9,19.99,19.99,19.99,19.99,19.99,1166
2017/2/17,16,16,16,16,16,10
2017/2/27,15,15,15,15,15,1
2017/2/28,17.6,17.6,17.6,17.6,17.6,75
2017/3/1,19.79,19.79,19.79,19.79,19.79,51
2017/3/7,15.83,15.83,15.83,15.83,15.83,1
2017/3/8,17.73,17.73,17.73,17.73,17.73,25
2017/3/9,20,20,20,20,20,10
2017/3/16,16,16,16,16,16,1
2017/3/17,19.2,19.2,19.2,19.2,19.2,3
2017/3/21,16.13,16.13,16.13,16.13,16.13,8582
2017/3/21,16.13,16.13,16.13,16.13,16.13,8582
2017/3/22,12.9,12.9,12.9,12.9,12.9,2
2017/3/24,12,12,12,12,12,1
2017/3/27,10.35,10.35,10.35,10.35,10.35,110
2017/3/29,8.28,8.28,8.28,8.28,8.28,27
2017/3/30,7.45,7.45,7.45,7.45,7.45,100
2017/3/31,6,6,6,6,6,1
2017/4/5,5,5,5,5,5,1
2017/4/6,4,4,4,4,4,1
2017/4/10,3.2,3.2,3.2,3.2,3.2,10
2017/4/11,2.6,2.6,2.6,2.6,2.6,10
2017/4/12,3,3,3,3,3,195611
2017/4/17,2.81,2.81,2.81,2.81,2.81,384900
