Date,Open,High,Low,Close,Adj Close,Volume
2017/1/9,37.77,37.77,37.77,37.77,37.77,17445
2017/1/10,37.34,37.34,37.34,37.34,37.34,15930
2017/1/11,38.08,38.08,38.08,38.08,38.08,10445
2017/1/12,38.66,38.66,38.66,38.66,38.66,12550
2017/1/13,38.85,38.85,38.85,38.85,38.85,10582
2017/1/16,38.69,38.69,38.69,38.69,38.69,8947
2017/1/17,37.66,37.66,37.66,37.66,37.66,7956
2017/1/18,37.38,37.38,37.38,37.38,37.38,5910
2017/1/19,38.54,38.54,38.54,38.54,38.54,10680
2017/1/20,37.94,37.94,37.94,37.94,37.94,7204
2017/1/23,37.7,37.7,37.7,37.7,37.7,2250
2017/1/24,37.61,37.61,37.61,37.61,37.61,3755
2017/1/25,37.15,37.15,37.15,37.15,37.15,6551
2017/1/26,37.74,37.74,37.74,37.74,37.74,1920
2017/2/3,37.68,37.68,37.68,37.68,37.68,2599
2017/2/6,36.91,36.91,36.91,36.91,36.91,4594
2017/2/7,37.92,37.92,37.92,37.92,37.92,2900
2017/2/8,37.95,37.95,37.95,37.95,37.95,3654
2017/2/9,39.02,39.02,39.02,39.02,39.02,4934
2017/2/10,41.52,41.52,41.52,41.52,41.52,4142
2017/2/13,40.69,40.69,40.69,40.69,40.69,6430
2017/2/14,41.44,41.44,41.44,41.44,41.44,9578
2017/2/15,42.28,42.28,42.28,42.28,42.28,12111
2017/2/16,40.79,40.79,40.79,40.79,40.79,2640
2017/2/17,39.32,39.32,39.32,39.32,39.32,3782
2017/2/20,37.88,37.88,37.88,37.88,37.88,1400
2017/2/21,38.27,38.27,38.27,38.27,38.27,2580
2017/2/22,37.65,37.65,37.65,37.65,37.65,10218
2017/2/23,37.73,37.73,37.73,37.73,37.73,7588
2017/2/24,37.39,37.39,37.39,37.39,37.39,4505
2017/2/28,36.72,36.72,36.72,36.72,36.72,5710
2017/3/1,37.52,37.52,37.52,37.52,37.52,3158
2017/3/2,36.71,36.71,36.71,36.71,36.71,1685
2017/3/3,38.25,38.25,38.25,38.25,38.25,3868
2017/3/6,37.97,37.97,37.97,37.97,37.97,5180
2017/3/7,36.8,36.8,36.8,36.8,36.8,1580
2017/3/8,37.1,37.1,37.1,37.1,37.1,6201
2017/3/9,36.23,36.23,36.23,36.23,36.23,5248
2017/3/10,36.69,36.69,36.69,36.69,36.69,10117
2017/3/13,34.67,34.67,34.67,34.67,34.67,7031
2017/3/14,35.53,35.53,35.53,35.53,35.53,4810
2017/3/15,36.07,36.07,36.07,36.07,36.07,6377
2017/3/16,36.9,36.9,36.9,36.9,36.9,5056
2017/3/17,36.81,36.81,36.81,36.81,36.81,4924
2017/3/20,37.1,37.1,37.1,37.1,37.1,2548
2017/3/21,36.6,36.6,36.6,36.6,36.6,4546
2017/3/22,36.7,36.7,36.7,36.7,36.7,3530
2017/3/23,33.17,33.17,33.17,33.17,33.17,8100
2017/3/24,35.05,35.05,35.05,35.05,35.05,3662
2017/3/27,35.6,35.6,35.6,35.6,35.6,2458
2017/3/28,35.02,35.02,35.02,35.02,35.02,3274
2017/3/29,35.11,35.11,35.11,35.11,35.11,4182
2017/3/30,34.71,34.71,34.71,34.71,34.71,3995
2017/3/31,34.6,34.6,34.6,34.6,34.6,10778
2017/4/5,37.25,37.25,37.25,37.25,37.25,6322
2017/4/6,36,36,36,36,36,3110
2017/4/7,37.2,37.2,37.2,37.2,37.2,2301
2017/4/10,36.08,36.08,36.08,36.08,36.08,7731
2017/4/11,36.98,36.98,36.98,36.98,36.98,8114
2017/4/12,35.23,35.23,35.23,35.23,35.23,13367
2017/4/13,34.94,34.94,34.94,34.94,34.94,21036
2017/4/14,34.99,34.99,34.99,34.99,34.99,24223
2017/4/17,37,37,37,37,37,3409
2017/4/18,37.91,37.91,37.91,37.91,37.91,1700
2017/4/19,35.86,35.86,35.86,35.86,35.86,3169
2017/4/20,36.06,36.06,36.06,36.06,36.06,2150
2017/4/21,37.71,37.71,37.71,37.71,37.71,11850
2017/4/24,37.71,37.71,37.71,37.71,37.71,11850
2017/4/25,33.26,33.26,33.26,33.26,33.26,9300
2017/4/26,34.71,34.71,34.71,34.71,34.71,3400
2017/4/27,36.37,36.37,36.37,36.37,36.37,8262
2017/4/28,34.01,34.01,34.01,34.01,34.01,4116
2017/5/2,34.51,34.51,34.51,34.51,34.51,7301
2017/5/3,35.72,35.72,35.72,35.72,35.72,5112
2017/5/4,35.6,35.6,35.6,35.6,35.6,3240
2017/5/5,35.08,35.08,35.08,35.08,35.08,16450
2017/5/8,36.14,36.14,36.14,36.14,36.14,5000
2017/5/9,35.7,35.7,35.7,35.7,35.7,8000
2017/5/10,37.31,37.31,37.31,37.31,37.31,8670
2017/5/11,38.57,38.57,38.57,38.57,38.57,8500
2017/5/12,38.39,38.39,38.39,38.39,38.39,9400
2017/5/15,35.55,35.55,35.55,35.55,35.55,5000
2017/5/16,35.9,35.9,35.9,35.9,35.9,4850
2017/5/17,36.32,36.32,36.32,36.32,36.32,5600
2017/5/18,35.3,35.3,35.3,35.3,35.3,780
2017/5/19,36.12,36.12,36.12,36.12,36.12,25952
2017/5/22,32.51,32.51,32.51,32.51,32.51,23
2017/5/23,29.26,29.26,29.26,29.26,29.26,206
2017/5/24,28.38,28.38,28.38,28.38,28.38,4200
2017/5/25,26.97,26.97,26.97,26.97,26.97,5711
2017/5/26,27.41,27.41,27.41,27.41,27.41,3200
2017/6/1,25.52,25.52,25.52,25.52,25.52,1600
