Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2014/4/2,21.0,22.0,21.0,21.0,21.0,['doji'],None,0.0,1.0,0.0,,0,0.23802264808362367,0.2542625745950554,0.2737290257951415,0.24965737779808134
2014/4/3,24.2,24.2,24.2,24.2,24.2,"['doji', 'shooting star', 'hammer', 'hanging man', 'inverse hammer']",None,,,,,0,0.30770905923344943,0.30115089514066495,0.3538692712246431,0.3227501142074006
2014/4/4,26.62,26.62,26.62,26.62,26.62,"['doji', 'shooting star', 'hammer', 'hanging man', 'inverse hammer']",None,,,,,0,0.36040940766550517,0.35272804774083544,0.4144753318307038,0.37802649611694844
2014/4/8,29.25,29.25,29.25,29.25,29.25,"['doji', 'shooting star', 'hammer', 'hanging man', 'inverse hammer']",None,,,,,0,0.4176829268292683,0.4087809036658141,0.4803405960430754,0.4380995888533577
2014/4/9,25.03,27.0,25.03,25.03,25.03,['doji'],None,0.0,1.0,0.0,,0,0.3257839721254355,0.36082693947144073,0.3746556473829202,0.3417085427135678
2014/4/10,24.5,26.0,24.5,24.5,24.5,['doji'],None,0.0,1.0,0.0,,0,0.3142421602787456,0.33951406649616367,0.36138241923365894,0.3296025582457743
2014/4/11,24.0,24.89,24.0,24.0,24.0,['doji'],None,0.0,1.0,0.0,,0,0.3033536585365853,0.3158567774936061,0.3488605058852993,0.3181818181818182
2014/4/14,24.5,24.51,24.5,24.5,24.5,['doji'],None,0.0,1.0,0.0,,0,0.3142421602787456,0.3077578857630009,0.36138241923365894,0.3296025582457743
2014/4/15,25.3,26.1,25.3,25.3,25.3,['doji'],None,0.0,1.0,0.0,,0,0.3316637630662021,0.34164535379369143,0.38141748059103436,0.3478757423481042
2014/4/16,25.2,25.7,25.2,25.2,25.2,['doji'],None,0.0,1.0,0.0,,0,0.32948606271777,0.3331202046035805,0.37891309792136235,0.3455915943353129
2014/4/17,25.5,25.7,25.5,25.5,25.5,['doji'],None,0.0,1.0,0.0,,0,0.3360191637630661,0.3331202046035805,0.38642624593037816,0.3524440383736866
2014/4/18,25.2,25.2,25.2,25.2,25.2,"['doji', 'shooting star', 'hammer', 'hanging man', 'inverse hammer']",None,,,,,0,0.32948606271777,0.322463768115942,0.37891309792136235,0.3455915943353129
2014/4/21,25.08,25.4,25.08,25.08,25.08,['doji'],None,0.0,1.0,0.0,,0,0.3268728222996515,0.32672634271099743,0.37590783871775607,0.34285061671996336
2014/4/22,24.6,24.85,24.6,24.6,24.6,['doji'],None,0.0,1.0,0.0,,0,0.3164198606271777,0.315004262574595,0.36388680190333084,0.3318867062585656
2014/4/23,24.6,24.6,24.6,24.6,24.6,"['doji', 'shooting star', 'hammer', 'hanging man', 'inverse hammer']",None,,,,,0,0.3164198606271777,0.3096760443307758,0.36388680190333084,0.3318867062585656
2014/4/24,24.0,24.55,24.0,24.0,24.0,['doji'],None,0.0,1.0,0.0,,0,0.3033536585365853,0.30861040068201195,0.3488605058852993,0.3181818181818182
2014/4/25,24.3,24.5,24.3,24.3,24.3,['doji'],None,0.0,1.0,0.0,,0,0.30988675958188155,0.307544757033248,0.35637365389431513,0.3250342622201919
2014/4/28,25.0,25.0,25.0,25.0,25.0,"['doji', 'shooting star', 'hammer', 'hanging man', 'inverse hammer']",None,,,,,0,0.32513066202090585,0.3182011935208866,0.37390433258201855,0.3410232983097305
2014/4/29,23.99,24.5,23.99,23.99,23.99,['doji'],None,0.0,1.0,0.0,,0,0.30313588850174206,0.307544757033248,0.3486100676183321,0.31795340338053907
2014/4/30,24.45,24.45,24.45,24.45,24.45,"['doji', 'shooting star', 'hammer', 'hanging man', 'inverse hammer']",None,,,,24.816000000000003,0,0.31315331010452957,0.3064791133844842,0.36013022789882293,0.32846048423937874
2014/5/5,24.0,24.36,24.0,24.0,24.0,['doji'],None,0.0,1.0,0.0,24.966,0,0.3033536585365853,0.3045609548167092,0.3488605058852993,0.3181818181818182
2014/5/6,23.99,24.1,23.99,23.99,23.99,['doji'],None,0.0,1.0,0.0,24.955500000000004,0,0.30313588850174206,0.2990196078431373,0.3486100676183321,0.31795340338053907
