Date,Open,High,Low,Close,Adj Close,Volume
2013/12/19,29,29.45,29,29.42,30,1110
2013/12/20,29,29.9,29,30,30,950
2013/12/23,29.8,29.8,29.8,29.9,29.9,200
2013/12/24,29.8,29.8,29.8,29.8,29.8,100
2013/12/25,29.8,29.8,29.8,29.8,29.8,100
2013/12/26,29.8,29.8,29.8,29.8,29.8,200
2013/12/27,29.7,29.7,29.7,29.7,29.7,200
2013/12/30,29.7,29.7,29.7,29.7,29.7,200
2013/12/31,29.8,29.8,29.8,29.8,29.8,200
2014/1/2,29.7,29.7,29.7,29.7,29.7,200
2014/1/3,29.8,29.8,29.8,29.8,29.8,100
2014/1/6,29.7,29.7,29.7,29.7,29.7,200
2014/1/7,29.6,29.6,29.6,29.6,29.6,300
2014/1/8,29.5,29.8,29.5,29.66,29.8,220
2014/1/9,29.7,29.7,29.7,29.7,29.7,150
2014/1/10,29.7,29.9,29.7,29.8,29.9,300
2014/1/13,29.6,29.8,29.6,29.72,29.72,300
2014/1/14,29.8,29.9,29.8,29.83,29.9,280
2014/1/15,29.9,29.9,29.9,29.9,29.9,200
2014/1/16,29.9,29.9,29.9,29.9,29.9,220
2014/1/17,30,32.5,30,31.6,32.5,1300
2014/1/20,31,32,31,31.5,32,200
2014/1/21,32.5,32.5,32.5,32.5,32.5,180
2014/1/22,32.5,32.5,32.5,32.5,32.5,200
2014/1/23,32,32,32,32,32,200
2014/1/24,33,33,33,33,33,200
2014/1/27,33,33,33,33,33,200
2014/1/28,33,33,33,33,33,200
2014/1/29,33,33,33,33,33,500
2014/2/7,33.5,33.5,33.5,33.5,33.5,500
2014/2/10,34.5,34.5,34.5,34.5,34.5,500
2014/2/11,34.5,34.5,34.5,34.5,34.5,500
2014/2/12,35,35,35,35,35,500
2014/2/13,34.5,37,34.5,35.1,35.1,20600
2014/2/14,35.5,35.5,35.5,35.5,35.5,800
2014/2/17,35.7,37,35.7,37,37,3500
2014/2/18,37.5,38,37.5,37.6,38,5000
2014/2/19,38.3,43,38.3,40.2,42.4,8980
2014/2/20,40,40,40,42.5,43.8,6000
2014/2/21,44.2,46,44.2,45.4,44.9,5012
2014/2/24,40,41,40,40.3,40.3,1500
2014/2/25,37.5,40,37.5,37.5,37.5,1610
2014/2/26,40,40,40,40,40,5000
2014/2/28,40.8,40.8,40.8,40.8,40.8,1000
2014/3/3,37,37.1,37,37.1,37.1,27300
2014/3/5,40,40.5,40,40.08,40.1,7000
2014/3/6,40,40.5,40,40.25,40.3,4000
2014/3/10,39.5,39.5,39.5,39.5,39.5,1000
2014/3/11,39.6,41,39.6,39.73,39.7,3010
2014/3/12,39.6,40,39.6,39.8,39.8,2000
2014/3/13,40,40,40,40,40,2000
2014/3/14,40,40,40,40,40,1000
2014/3/17,40,40,40,40,40,2898
2014/3/18,39,39,39,39,39,1000
2014/3/19,39.6,40,39.6,39.8,39.8,2000
2014/3/20,39.8,40,39.8,39.82,40,45000
2014/3/21,40.8,41,40.8,40.41,40.4,7500
2014/3/24,40.5,40.5,40.5,40.5,40.5,200
2014/3/25,40,40,40,40,40,2000
2014/3/27,40,40.2,40,40.07,40.1,1300
2014/3/28,40,40,40,40,40,3500
2014/3/31,40,40,40,40,40,595
2014/4/1,39.5,39.5,39.5,39.5,39.5,400
2014/4/2,38,39,38,38.5,38.5,2000
2014/4/3,39,39.5,39,39.16,39.2,3400
2014/4/4,39,39.5,39,39.37,39.4,4000
2014/4/8,39.5,39.5,39.5,39.33,39.3,3000
2014/4/9,38.6,39,38.6,38.9,38.9,4000
2014/4/10,39,39,39,38.95,39,3600
2014/4/14,39.2,39.2,39.2,39.2,39.2,2000
2014/4/15,40.2,40.2,40.2,40.05,40.1,12000
2014/4/18,36,36,36,36,36,200
2014/4/21,38,38,38,38,38,6500
2014/4/22,39,39,39,39,39,2000
2014/4/23,39.5,39.5,39.5,39.5,39.5,2200
2014/4/24,39.5,39.5,39.5,39.5,39.5,6200
2014/4/25,39.5,39.5,39.5,39.45,39.5,3100
2014/4/28,39.4,39.4,39.4,39.4,39.4,3000
2014/4/29,39.5,39.8,39.5,39.62,39.6,6100
2014/4/30,39.5,39.5,39.5,39.06,39.1,6000
2014/5/6,38.8,38.8,38.8,38.8,38.8,7000
2014/5/8,39,39,39,39,39,20
2014/5/9,39,39,39,39,39,2000
2014/5/12,39,39,39,38.9,38.9,2000
2014/5/13,38.9,38.9,38.9,38.86,38.9,5000
2014/5/14,39.8,39.8,39.8,39.75,39.8,42010
2014/5/16,39.2,39.2,39.2,39.2,39.2,3000
2014/5/19,39.3,39.5,39.3,39.38,39.4,5000
2014/5/20,39.5,39.5,39.5,39.5,39.5,3000
2014/5/22,38.5,38.9,38.5,38.17,35,22661
2014/5/23,38.5,39.5,38.5,38.54,39.5,11000
2014/5/26,38,38,38,38.08,38.1,42000
2014/5/28,38.8,39,38.8,38.88,38.9,5000
2014/5/29,38.5,38.5,38.5,38.5,38.5,8000
2014/5/30,38.5,38.6,38.5,38.51,38.5,7067
2014/6/3,38.5,38.5,38.5,38.5,38.5,1000
2014/6/4,28,28,28,28,28,3000
2014/6/5,39.5,39.5,39.5,39.5,39.5,4300
2014/6/6,39.5,39.7,39.5,39.64,39.6,7302
2014/6/9,40,40,40,40,40,583
2014/6/10,40,40,40,40,40,4917
2014/6/11,40,40,40,40,40,1579
2014/6/12,40,40.1,40,40,40,199000
2014/6/13,40,40.5,40,40.14,40.1,3434
2014/6/16,40.3,41,40.3,40.6,40.5,13495
2014/6/17,41,42,41,41,41,13400
2014/6/18,41,43,41,41,41,60869
2014/6/19,41,43,41,42.8,42.8,114407
2014/6/20,43,44,43,43.03,43,19055
2014/6/23,39.3,42,39.3,40.85,41,204049
2014/6/24,41,41,41,39.72,39.6,8397
2014/6/25,40,40,40,39.1,39.1,135012
2014/6/26,39.5,39.5,39.5,39.1,38.9,11706
2014/6/27,40,40,40,39.41,39,3823
2014/6/30,48,48,48,48,48,7220
2014/9/4,29,29,29,29,29,5000
2014/9/22,30.9,31.5,30.9,31.4,31.4,2000
2014/9/23,32.1,32.1,32.1,32,32,1500
2014/9/24,33,33,33,33,33,1000
2014/9/25,33.8,34.1,33.8,34,34,2000
2014/9/26,34.2,34.9,34.2,34.36,34.4,3500
2014/9/29,34.5,34.9,34.5,34.72,34.7,4400
2014/9/30,34.9,34.9,34.9,34.9,34.9,3000
2014/10/8,35,35,35,35,35,2000
2014/10/9,35.1,35.1,35.1,35.1,35.1,500
2014/10/13,35.5,35.5,35.5,35.5,35.5,1500
2014/10/14,35.5,35.5,35.5,35.5,35.5,4000
2014/10/15,35.3,35.3,35.3,35.3,35.3,2000
2014/10/16,35.5,35.5,35.5,35.5,35.5,2000
2014/10/17,35.5,35.8,35.5,35.5,35.7,4000
2014/10/20,35.8,35.8,35.8,35.8,35.8,2000
2014/10/21,35.8,35.8,35.8,35.8,35.8,2000
2014/10/22,35.8,35.8,35.8,35.8,35.8,2000
2014/10/24,35.8,35.8,35.8,35.8,35.8,1000
2014/10/27,35.8,35.8,35.8,35.8,35.8,2000
2014/10/28,35.8,35.8,35.8,35.8,35.8,2000
2014/10/29,35.8,35.8,35.8,35.8,35.8,1000
2014/10/30,35.8,35.8,35.8,35.8,35.8,3000
2014/10/31,35.6,35.6,35.6,35.6,35.6,100
