Date,Open,High,Low,Close,Adj Close,Volume
2013/12/19,60,61,60,60.2,60.17,120029
2013/12/20,60.17,60,60.17,60,60,100
2014/3/11,60,60,60,60,60,5242
2014/3/14,60,63,60,63,63,200
2014/3/17,63,65,63,65,65,100
2014/3/18,65,65,65,65,65,100
2014/3/19,65,66,65,66,66,10
2014/3/20,66,65,66,65,65,6
2014/3/21,65,63,65,63,63,48
2014/3/24,63,65,63,65,65,12
2014/3/25,65,60,65,60,60,35
2014/3/26,60,65,60,65,65,8
2014/3/27,65,60,65,60,60,16
2014/3/28,60,61.5,60,61.5,61.5,75
2014/3/31,61.5,60,61.5,60,60,18
2014/4/1,60,62,60,62,62,10
2014/4/8,62,60.8,62,60.8,60.8,8
2014/4/11,60.8,60,60.8,60,60,6
2014/4/14,60,61.8,60,61.8,61.8,4
2014/4/15,61.8,63.3,61.8,63.3,63.3,5
2014/4/16,63.3,63.3,63.3,63.3,63.3,6
2014/4/18,63.3,63.8,63.3,63.8,63.8,5
2014/4/21,63.8,62,63.8,62,62,4
2014/4/22,62,65.8,62,65.8,65.8,5
2014/4/23,65.8,61,65.8,61,61,6
2014/4/24,61,67,61,67,67,5
2014/4/25,67,71.6,67,71.6,71.6,4
2014/4/30,71.6,70.88,71.6,70.88,70.88,10
2014/5/4,70.88,68.2,70.88,68.2,68.2,15
2014/5/5,68.2,66.8,68.2,66.8,66.8,18
2014/5/9,62.1,65.12,62.1,65.12,65.12,12
2014/5/13,62.1,65.12,62.1,65.12,65.12,12
2014/5/14,65.12,67.8,65.12,67.8,67.8,14
2014/5/15,67.8,69.5,67.8,69.5,69.5,8
2014/5/16,69.5,71.2,69.5,71.2,71.2,7
2014/5/19,71.2,74.6,71.2,74.6,74.6,5
2014/5/20,74.6,77,74.6,77,77,4
2014/5/21,77,74.7,77,74.7,74.7,5
2014/5/22,74.7,73,74.7,73,73,5
2014/5/28,70.02,63.02,70.02,63.02,63.02,7
2014/5/29,63.02,65.18,63.02,65.18,65.18,5
2014/5/30,65.18,61.18,65.18,61.18,61.18,5
2014/6/3,61.18,63.5,61.18,63.5,63.5,6
2014/6/5,63.5,68.6,63.5,60,66.38,188050
2014/6/6,66.33,68.5,66.33,60,68.5,90007
2014/6/9,68.5,62.5,68.5,62.5,62.5,6
2014/6/10,62.5,63.5,62.5,63.5,63.5,172600
2014/6/11,63.5,65.16,63.5,65.16,65.16,7
2014/6/13,65.16,66.82,65.16,66.82,66.82,5
2014/6/16,66.82,64.9,66.82,63.31,63.32,15
2014/6/17,63.32,62.3,63.32,60.28,60.28,66
2014/6/18,60.28,64.68,60.28,60.22,60.22,1005
2014/6/19,60.22,63,60.22,63,63,6
2014/6/20,63,63.51,63,63.51,63.51,5
2014/6/23,63.51,65.35,63.51,65.35,65.35,4
2014/6/24,65.35,67.52,65.35,67.52,67.52,5
2014/6/25,67.52,68.66,67.52,68.66,68.66,5
2014/6/26,68.66,71,68.66,71,71,4
2014/6/27,71,72,71,68,68,6
2014/6/30,68,64.43,68,62.41,62.41,8
2014/7/1,62.41,68.65,62.41,58,58,2776
2014/7/2,58,60,58,59.54,59.54,4077
2014/7/3,59.54,65.2,59.54,61.58,61.58,4
2014/7/4,61.58,67.73,61.58,59.13,67.68,94
2014/7/7,67.68,60.91,67.68,60.91,60.91,2
2014/7/8,60.91,60.05,60.91,57.88,57.88,72523
2014/7/9,57.88,60,57.88,60,55,42838
2014/7/10,55,60,55,59.56,50.6,44270
2014/7/11,50.6,55,50.6,50.51,46.5,104112
2014/7/14,50.5,46,50.5,46,46,30869
2014/7/15,46,45,46,44.99,44.99,97008
2014/7/16,44.99,45.3,44.99,44.35,44.35,1402
2014/7/18,44.35,45.2,44.35,44.14,44.14,631
2014/7/23,44.14,48.55,44.14,39.76,48.55,5001
2014/7/24,48.55,53.41,48.55,53.41,53.41,11
2014/7/25,53.41,58.75,53.41,58.75,58.75,3000
2014/7/28,58.75,64.63,58.75,64.63,64.63,10
2014/7/29,64.63,71.09,64.63,71.02,58.17,1993
2014/8/1,58.17,63.99,58.17,52.39,63.99,2830
2014/8/4,63.99,70.39,63.99,57.84,57.84,2833
2014/8/5,57.84,60,57.84,60,60,1631
2014/8/6,60,54,60,54,54,5
2014/8/7,54,52,54,49.02,48.99,11032
2014/8/8,48.99,52.8,48.99,52.12,52.12,10589
2014/8/11,52.12,51.2,52.12,50.85,50.85,10158
2014/8/12,50.85,51.6,50.85,50.96,50.96,10092
2014/8/13,50.96,52.3,50.96,51.65,51.65,10348
2014/8/14,51.65,52,51.65,50.79,50.79,9879
2014/8/15,50.79,53,50.79,52.07,52.07,10740
