Date,Open,High,Low,Close,Adj Close,Volume
2014/4/2,21,22,21,21,22,510020
2014/4/3,24.2,24.2,24.2,24.2,24.2,51468
2014/4/4,26.62,26.62,26.62,26.62,26.62,304125
2014/4/8,29.25,29.25,29.25,29.25,29.25,112057
2014/4/9,25.03,27,25.03,25.03,27,77473
2014/4/10,24.5,26,24.5,24.5,26,64950
2014/4/11,24,24.89,24,24,24.89,113059
2014/4/14,24.5,24.51,24.5,24.5,24.51,58370
2014/4/15,25.3,26.1,25.3,25.3,26.1,63175
2014/4/16,25.2,25.7,25.2,25.2,25.7,76053
2014/4/17,25.5,25.7,25.5,25.5,25.7,99390
2014/4/18,25.2,25.2,25.2,25.2,25.2,77544
2014/4/21,25.08,25.4,25.08,25.08,25.4,99891
2014/4/22,24.6,24.85,24.6,24.6,24.85,116412
2014/4/23,24.6,24.6,24.6,24.6,24.6,65882
2014/4/24,24,24.55,24,24,24.55,49084
2014/4/25,24.3,24.5,24.3,24.3,24.5,55345
2014/4/28,25,25,25,25,25,57357
2014/4/29,23.99,24.5,23.99,23.99,24.5,62994
2014/4/30,24.45,24.45,24.45,24.45,24.45,2034940
2014/5/5,24,24.36,24,24,24.36,50770
2014/5/6,23.99,24.1,23.99,23.99,24.1,42494
2014/5/7,23.96,23.96,23.96,23.96,23.96,43426
2014/5/8,23.85,24,23.85,23.85,24,45483
2014/5/9,23.73,23.76,23.73,23.73,23.76,38590
2014/5/12,23.71,23.71,23.71,23.71,23.71,35890
2014/5/13,23.51,24.17,23.51,23.51,24.17,70038
2014/5/14,23.53,23.9,23.53,23.53,23.9,75370
2014/5/15,23.76,24.3,23.76,23.76,24.3,46567
2014/5/16,25,25,25,25,25,41991
2014/5/19,24.3,36,24.3,24.3,36,45736
2014/5/20,24.21,24.21,24.21,24.21,24.21,36258
2014/5/21,24.24,24.24,24.24,24.24,24.24,49062
2014/5/22,24,24.65,24,24,24.65,39071
2014/5/23,24,24,24,24,24,43977
2014/5/25,24,24,24,24,24,43977
2014/5/26,24.3,24.3,24.3,24.3,24.3,53045
2014/5/27,23.85,24.1,23.85,23.85,24.1,42235
2014/5/28,23.75,24,23.75,23.75,24,39347
2014/5/29,23.83,24.23,23.83,23.83,24.23,49285
2014/5/30,24,24.01,24,24,24.01,42430
2014/6/3,23.91,24,23.91,23.91,24,38890
2014/6/4,23.9,24.5,23.9,23.9,24.5,40311
2014/6/5,23.98,23.98,23.98,23.98,23.98,37699
2014/6/6,23.4,23.9,23.4,23.4,23.9,46743
2014/6/9,23.65,23.95,23.65,23.65,23.95,40005
2014/6/10,23.8,23.8,23.8,23.8,23.8,51044
2014/6/11,23.6,23.8,23.6,23.6,23.8,69436
2014/6/12,23.75,23.8,23.75,23.75,23.8,42191
2014/6/13,23.75,23.7,23.75,23.75,23.7,42435
2014/6/16,24,24,24,24,24,42312
2014/6/17,23,23,23,23,23,55305
2014/6/18,22.01,23,22.01,22.01,23,43208
2014/6/19,23,23.25,23,23,23.25,49128
2014/6/20,22.96,23,22.96,22.96,23,35251
2014/6/23,22.92,23,22.92,22.92,23,52329
2014/6/24,23.45,23.45,23.45,23.45,23.45,37453
2014/6/25,25.16,25.16,25.16,25.16,25.16,41431
2014/6/26,21,23.48,21,21,23.48,50022
2014/6/27,23,23,23,23,23,42155
2014/6/30,24.4,24.4,24.4,24.4,24.4,62454
2014/7/1,22.85,22.88,22.85,22.85,22.88,33999
2014/7/2,23.8,23.8,23.8,23.8,23.8,52073
2014/7/3,24.3,24.3,24.3,24.3,24.3,52724
2014/7/4,23,23.48,23,23,23.48,44752
2014/7/7,23,23.19,23,23,23.19,38383
2014/7/8,23.5,23.91,23.5,23.5,23.91,37879
2014/7/9,23.22,23.3,23.22,23.22,23.3,47742
2014/7/10,23.5,23.5,23.5,23.5,23.5,36873
2014/7/11,24.3,24.3,24.3,24.3,24.3,41097
2014/7/14,23.64,25,23.64,23.64,25,37215
2014/7/15,23.9,24.5,23.9,23.9,24.5,42500
2014/7/16,24,24.5,24,24,24.5,32708
2014/7/17,23.9,24.05,23.9,23.9,24.05,42905
2014/7/18,24.5,24.5,24.5,24.5,24.5,32430
2014/7/21,23.5,23.65,23.5,23.5,23.65,42644
2014/7/22,21.5,23.83,21.5,21.5,23.83,31456
2014/7/23,23.12,23.65,23.12,23.12,23.65,42168
2014/7/24,21.18,23.8,21.18,21.18,23.8,60062
2014/7/25,23.13,23.25,23.13,23.13,23.25,28824
2014/7/28,22.8,23.79,22.8,22.8,23.79,28233
2014/7/29,23.53,24,23.53,23.53,24,26504
2014/7/30,23.99,24,23.99,23.99,24,30910
2014/7/31,23.6,23.92,23.6,23.6,23.92,26001
2014/8/1,23.95,25,23.95,23.95,25,22617
2014/8/4,25.4,25.4,25.4,25.4,25.4,13508
2014/8/5,20.87,23.3,20.87,20.87,23.3,19142
2014/8/6,25,25,25,25,25,28205
2014/8/7,22.3,23.06,22.3,22.3,23.06,16439
2014/8/8,23.08,23.08,23.08,23.08,23.08,16181
2014/8/11,23,23.05,23,23,23.05,9537
2014/8/12,23,23,23,23,23,13226
2014/8/13,22.88,23,22.88,22.88,23,11443
2014/8/14,24.9,24.9,24.9,24.9,24.9,6524
2014/8/15,22.82,22.99,22.82,22.82,22.99,39298
2014/8/18,23.88,23.88,23.88,23.88,23.88,27318
2014/8/19,23.2,23.2,23.2,23.2,23.2,7223
2014/8/20,22.58,23.6,22.58,22.58,23.6,6935
2014/8/21,23.5,23.5,23.5,23.5,23.5,4366
2014/8/22,23,23,23,23,23,4583
2014/8/25,22.5,23.5,22.5,22.5,23.5,24124
2014/8/26,22.91,23.9,22.91,22.91,23.9,8545
2014/8/27,22.95,23.48,22.95,22.95,23.48,6001
2014/8/28,22.5,23.5,22.5,22.5,23.5,15759
2014/8/29,23.48,23.95,23.48,23.48,23.95,37659
2014/9/1,23.7,23.98,23.7,23.7,23.98,6505
