Date,Open,High,Low,Close,Adj Close,Volume
2013/8/5,28,38,35,38,38,7000
2013/8/8,40,40,40,40,40,500
2013/8/9,40,40,40,40,40,500
2013/8/12,40,42,41,42,42,1500
2013/8/14,42,42,41,42,42,1000
2013/8/15,42,43,43,43,43,2000
2013/8/20,43,43,43,43,43,1000
2013/8/22,45,48,47,48,48,2000
2013/8/23,45,48,47,48,48,2000
2013/8/28,48,50,48,50,50,3000
2013/8/29,50,55,52,55,55,2500
2013/9/2,55,68,60,68,68,4000
2013/9/4,68,72,68,72,72,1500
2013/9/6,72,78,75,78,78,1500
2013/9/9,78,87,83,87,87,2000
2013/9/10,87,92.95,92.95,92.95,92.95,2200
2013/9/11,92.95,102,85,102,102,6900
2013/9/12,90,89,87,89,89,5460
2013/9/13,88,85,85,85,85,1000
2013/9/16,85,85,76.5,85,85,7200
2013/9/17,83,80,74.7,80,80,13783
2013/9/18,80,80,72,80,80,12000
2013/9/22,75,76,74,76,76,6300
2013/9/23,74,76,67.5,76,76,4600
2013/9/24,70,72,72,72,72,1000
2013/9/25,72,66,66,66,66,300
2013/9/26,66,72,64,72,72,504
2013/9/27,72,79.2,64.8,79.2,79.2,301
2013/9/29,79.2,87.12,71.28,87.12,87.12,201
2013/9/30,71.28,64.16,64.16,64.16,64.16,2183
2013/10/8,64.16,70.57,66,70.57,70.57,1001
2013/10/9,70.57,77.62,77,77.62,77.62,4
2013/10/10,77.62,85.38,75,85.38,85.38,302
2013/10/11,75,82.5,80,82.5,82.5,111
2013/10/12,82.5,90.75,80,90.75,90.75,53
2013/10/14,90.75,99.8,99.8,99.8,99.8,1
2013/10/15,99.8,109.75,90,109.75,109.75,421
2013/10/16,109.75,119,119,119,119,1
2013/10/17,119,130.9,107.1,130.9,130.9,3
2013/10/18,130.9,143.99,117.81,143.99,143.99,14
2013/10/21,117.81,106.3,106.03,106.3,106.3,2
2013/10/22,106.3,95.67,95.67,95.67,95.67,224
2013/10/23,95.67,86.5,86.5,86.5,86.5,310
2013/10/24,86.5,80,80,80,80,220
2013/10/25,80,80,80,80,80,50
2013/10/28,80,80,80,80,80,410
2013/10/29,80,80,75,80,80,6008
2013/10/30,75,80,80,80,80,100
2013/10/31,80,83,73,83,83,201
2013/11/1,83,80,80,80,80,1205
2013/11/5,80,80,80,80,80,301
2013/11/7,80,80,80,80,80,300
2013/11/8,80,80,78,80,80,300
2013/11/11,78,80,73,80,80,105
2013/11/12,80,80,80,80,80,10
2013/11/13,80,75,75,75,75,2000
2013/11/14,80,80,72,80,80,5
2013/11/15,75,80,78,80,80,2
2013/11/18,72,75,64.8,75,75,1156
2013/11/19,75,76,67.5,76,76,641
2013/11/20,67.5,74.25,60.75,74.25,74.25,541
2013/11/21,60.75,66.8,54.68,66.8,66.8,4
2013/11/22,54.68,60.14,59.01,60.14,60.14,5
2013/11/25,60.14,66.15,65.45,66.15,66.15,4
2013/11/26,66.15,72.76,66.21,72.76,72.76,53
2013/11/27,72.76,80.03,78.5,80.03,80.03,1411
2013/11/28,80,88,78.1,88,88,1547
2013/11/29,80,80,75,80,80,1200
2013/12/2,80,80,76,80,80,531
2013/12/3,80,80,79,80,80,506
2013/12/4,80,79.5,78,79.5,79.5,400
2013/12/5,78,79,76,79,79,2730
2013/12/6,76,83.6,76,83.6,83.6,3152
2013/12/9,79,86.9,75,86.9,86.9,3701
2013/12/10,86.9,95.59,78.21,95.59,95.59,1043
2013/12/11,78.21,79,72,79,79,472
2013/12/12,79,79,76,79,79,1791
2013/12/13,76,76.55,70,76.55,76.55,4692
2013/12/16,75,75,75,75,75,3238
2013/12/17,75,75,70,75,75,6310
2013/12/19,73.5,74.5,73,74.5,74.5,121
2013/12/20,73,75,70,75,75,5905
2013/12/23,73,73,68,73,73,3597
2013/12/24,73,73,70,73,73,5229
2013/12/25,71.8,72,68,72,72,1030
2013/12/26,68.21,68.01,67,68.01,68.01,2463
2013/12/27,67.16,69.99,65,69.99,69.99,3215
2013/12/30,65.37,65,60,65,65,9532
2013/12/31,65,66,66,66,66,400
2014/1/2,66,70,66,70,70,1197
2014/1/3,69.94,70,69,70,70,615
2014/1/6,70,72,65.01,72,72,711
2014/1/7,72,73,72,73,73,513
2014/1/8,73,75,73.1,75,75,130
2014/1/9,75,75.88,73,75.88,75.88,652
2014/1/10,75.88,76.88,76.88,76.88,76.88,5
2014/1/13,76.88,71.5,71,71.5,71.5,450
2014/1/14,71.01,71.15,70,71.15,71.15,425
2014/1/15,70,76,70,76,76,630
2014/1/16,70.1,72.88,70.5,72.88,72.88,498
2014/1/17,70.5,70.65,70.6,70.65,70.65,450
2014/1/20,70.61,70.7,70,70.7,70.7,110
2014/1/21,70,70,69.88,70,70,181
2014/1/22,69.88,69,69,69,69,100
2014/1/23,69,74.99,71,74.99,74.99,11
2014/1/24,74.99,77,70,77,77,551
2014/1/27,71.11,71.5,69.2,71.5,71.5,308
2014/1/28,71.5,68.5,68.01,68.5,68.5,240
2014/1/29,68.31,71.58,68.5,71.58,71.58,649
2014/2/10,71.58,72.1,72,72.1,72.1,1199
2014/2/11,72,70.65,70.5,70.65,70.65,231
2014/2/12,72,70.65,70.5,70.65,70.65,95
2014/2/13,70.58,72,71.99,72,72,2178
2014/2/14,72,76,72.1,76,76,344
2014/2/17,72.13,78,73,78,78,881
2014/2/18,73,78,73,78,78,881
2014/2/19,77.98,83.99,75.3,83.99,83.99,68
2014/2/20,75.3,80,75,80,80,232
2014/2/21,80,85,85,85,85,1
2014/2/24,85,88,80,88,88,487
2014/2/25,80,80,79.01,80,80,512
2014/2/26,80,80,80,80,80,683
2014/2/27,80,80.5,80.1,80.5,80.5,123
2014/2/28,80.5,82.69,80.5,82.69,82.69,211
2014/3/3,80.5,82,80,82,82,1644
2014/3/4,81,86.5,81,86.5,86.5,1598
2014/3/5,85,82.5,82.5,82.5,82.5,30
2014/3/6,82.5,86.5,82,86.5,86.5,261
2014/3/7,86,86,85,86,86,114
2014/3/10,85.8,85.2,85,85.2,85.2,320
2014/3/11,85,93,85,93,93,3943
2014/3/12,85.26,88.3,80,88.3,88.3,1977
2014/3/13,83.5,85,82.5,85,85,2278
2014/3/14,83.5,83,75.5,83,83,716
2014/3/17,80.1,83,81,83,83,501
2014/3/18,83,83,80,83,83,1202
2014/3/19,81,83,80.5,83,83,1218
2014/3/20,81,88,79.2,88,88,1689
